NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
BDKRB1	1	BDKRB1	
TAS2R1	1	TAS2R1	
TAS2R3	1	TAS2R3	
TAS2R5	1	TAS2R5	
TAS2R4	1	TAS2R4	
PSTK	1	PSTK	
PTGIR	1	PTGIR	
RASA4B	1	RASA4B	
PTGIS	1	PTGIS	
LMNTD1	1	LMNTD1	
LMNTD2	1	LMNTD2	
TRNAU1AP	1	TRNAU1AP	
UACA	1	UACA	
NCALD	1	NCALD	
ERBB3	1	ERBB3	
ERBB4	1	ERBB4	
MLANA	1	MLANA	
ERBB2	1	ERBB2	
S1PR1	1	S1PR1	
BPNT2	1	IMPAD1	
BPNT1	1	BPNT1	
S1PR3	1	S1PR3	
NCAM1	1	NCAM1	
C14orf119	1	C14orf119	
ROMO1	1	ROMO1	
S1PR2	1	S1PR2	
NCAM2	1	NCAM2	
S1PR5	1	S1PR5	
S1PR4	1	S1PR4	
REPS1	1	REPS1	
RWDD1	1	RWDD1	
LGI1	1	LGI1	
RWDD3	1	RWDD3	
RWDD4	1	RWDD4	
NEGR1	1	NEGR1	
LGI4	1	LGI4	
LGI3	1	LGI3	
KDF1	1	KDF1	
LGI2	1	LGI2	
NAP1L1	1	NAP1L1	
SGPP2	1	SGPP2	
NAP1L5	1	NAP1L5	
SGPP1	1	SGPP1	
NAP1L4	1	NAP1L4	
FMNL3	1	FMNL3	
FMNL1	1	FMNL1	
DPRX	1	DPRX	
FMNL2	1	FMNL2	
XPNPEP1	1	XPNPEP1	
XPNPEP3	1	XPNPEP3	
ALOX5AP	1	ALOX5AP	
CENPS-CORT	1	APITD1-CORT	
ZPR1	1	ZPR1	
ITSN2	1	ITSN2	
JRK	1	JRK	
IFT172	1	IFT172	
ITSN1	1	ITSN1	
ZC3H12D	1	ZC3H12D	
FAM110A	1	FAM110A	
ZC3H12C	1	ZC3H12C	
FAM243A	1	C21orf140	
FAM110D	1	FAM110D	
FAM110C	1	FAM110C	
ZC3H12A	1	ZC3H12A	
FAM110B	1	FAM110B	
SMCO3	1	SMCO3	
SMCO2	1	SMCO2	
CKMT1B	1	CKMT1B	
ANKFY1	1	ANKFY1	
SMCO4	1	SMCO4	
SMCO1	1	SMCO1	
HEMK1	1	HEMK1	
CXADR	1	CXADR	
CH25H	1	CH25H	
LRATD1	1	FAM84A	
MTHFD1	1	MTHFD1	
OPTC	1	OPTC	
MTHFD2	1	MTHFD2	
LRATD2	1	FAM84B	
EWSR1	1	EWSR1	
ZC3H11A	1	ZC3H11A	
JTB	1	JTB	
MPPE1	1	MPPE1	
OPTN	1	OPTN	
MEPCE	1	MEPCE	
LYPD1	1	LYPD1	
LYPD2	1	LYPD2	
LYPD3	1	LYPD3	
LYPD4	1	LYPD4	
LYPD5	1	LYPD5	
LYPD6	1	LYPD6	
LYPD8	1	LYPD8	
DEDD2	1	DEDD2	
AGMO	1	AGMO	
NPBWR1	1	NPBWR1	
NPBWR2	1	NPBWR2	
LTA4H	1	LTA4H	
JAG2	1	JAG2	
HEXIM1	1	HEXIM1	
HEXIM2	1	HEXIM2	
JUN	1	JUN	
HLA-DRB5	1	HLA-DRB5	
JAG1	1	JAG1	
JUP	1	JUP	
EIF2AK1	1	EIF2AK1	
EIF2AK3	1	EIF2AK3	
EIF2AK2	1	EIF2AK2	
LNPEP	1	LNPEP	
EIF2AK4	1	EIF2AK4	
BLOC1S5-TXNDC5	1	BLOC1S5-TXNDC5	
FAM111B	1	FAM111B	
FAM111A	1	FAM111A	
AGO3	1	AGO3	
AGO4	1	AGO4	
AGO1	1	AGO1	
AGO2	1	AGO2	
NMT1	1	NMT1	
NMT2	1	NMT2	
HLA-DRB1	1	HLA-DRB1	
LGMN	1	LGMN	
PSME3IP1	1	FAM192A	
DPYS	1	DPYS	
KDM8	1	KDM8	
TFCP2L1	1	TFCP2L1	
EVPLL	1	EVPLL	
NHSL1	1	NHSL1	
JAK2	1	JAK2	
JAK3	1	JAK3	
JAK1	1	JAK1	
DUSP4	1	DUSP4	
CHST8	1	CHST8	
MAMDC4	1	MAMDC4	
DUSP5	1	DUSP5	
CHST9	1	CHST9	
DUSP2	1	DUSP2	
CHST6	1	CHST6	
DUSP3	1	DUSP3	
CRPPA	1	ISPD	
DUSP1	1	DUSP1	
IFT140	1	IFT140	
MAMDC2	1	MAMDC2	
DUSP8	1	DUSP8	
DUSP6	1	DUSP6	
DUSP7	1	DUSP7	
SDHAF2	1	SDHAF2	
SDHAF3	1	SDHAF3	
DPYD	1	DPYD	
AGPS	1	AGPS	
SDHAF1	1	SDHAF1	
CHST1	1	CHST1	
SDHAF4	1	SDHAF4	
CHST4	1	CHST4	
CHST5	1	CHST5	
CHST2	1	CHST2	
CHST3	1	CHST3	
TP53I13	1	TP53I13	
SPESP1	1	SPESP1	
ABRACL	1	ABRACL	
FAM117B	1	FAM117B	
FAM117A	1	FAM117A	
CST11	1	CST11	
AGR2	1	AGR2	
AGR3	1	AGR3	
TP53I11	1	TP53I11	
JAM2	1	JAM2	
JAM3	1	JAM3	
ATAD1	1	ATAD1	
ATAD5	1	ATAD5	
CKMT1A	1	CKMT1A	
ATAD2	1	ATAD2	
DCBLD1	1	DCBLD1	
DCBLD2	1	DCBLD2	
CCDC9	1	CCDC9	
CCDC8	1	CCDC8	
CCDC7	1	CCDC7	
CCDC6	1	CCDC6	
AGRP	1	AGRP	
CCDC3	1	CCDC3	
AGRN	1	AGRN	
LGR6	1	LGR6	
LGR5	1	LGR5	
LGR4	1	LGR4	
GZF1	1	GZF1	
ATP12A	1	ATP12A	
EFEMP2	1	EFEMP2	
EFEMP1	1	EFEMP1	
CYSRT1	1	CYSRT1	
KMT5B	1	SUV420H1	
KMT5A	1	SETD8	
UGT2B10	1	UGT2B10	
IFNA13	1	IFNA13	
UGT2B11	1	UGT2B11	
IFNA14	1	IFNA14	
PCYT2	1	PCYT2	
IFNA16	1	IFNA16	
KMT5C	1	SUV420H2	
IFNA17	1	IFNA17	
UGT2B15	1	UGT2B15	
FAM118A	1	FAM118A	
UGT2B17	1	UGT2B17	
ATP11B	1	ATP11B	
ATP11A	1	ATP11A	
FAM118B	1	FAM118B	
JAML	1	AMICA1	
LGSN	1	LGSN	
SRSF2	1	SRSF2	
SRSF3	1	SRSF3	
SRSF4	1	SRSF4	
PTPRCAP	1	PTPRCAP	
SRSF5	1	SRSF5	
SRSF6	1	SRSF6	
SRSF7	1	SRSF7	
SRSF8	1	SRSF8	
IFNA10	1	IFNA10	
SRSF9	1	SRSF9	
KMT2E	1	KMT2E	
KMT2D	1	KMT2D	
UQCRB	1	UQCRB	
KMT2A	1	KMT2A	
KMT2C	1	KMT2C	
KMT2B	1	KMT2B	
UAP1	1	UAP1	
UQCRH	1	UQCRH	
ARL17B	1	ARL17B	
ARL17A	1	ARL17A	
LOXHD1	1	LOXHD1	
KHDC1	1	KHDC1	
KRTAP4-4	1	KRTAP4-4	
KRTAP4-3	1	KRTAP4-3	
KHDC4	1	KIAA0907	
AP4S1	1	AP4S1	
KRTAP4-2	1	KRTAP4-2	
KRTAP4-1	1	KRTAP4-1	
KDSR	1	KDSR	
IFNA21	1	IFNA21	
KRTAP4-9	1	KRTAP4-9	
KRTAP4-8	1	KRTAP4-8	
KRTAP4-7	1	KRTAP4-7	
KRTAP4-6	1	KRTAP4-6	
KRTAP4-5	1	KRTAP4-5	
BFSP2	1	BFSP2	
SH3BP5L	1	SH3BP5L	
BFSP1	1	BFSP1	
UQCRQ	1	UQCRQ	
ADSS1	1	ADSSL1	
ADSS2	1	ADSS	
CLPTM1L	1	CLPTM1L	
PTEN	1	PTEN	
ETFA	1	ETFA	
ETFB	1	ETFB	
RESF1	1	KIAA1551	
AP4M1	1	AP4M1	
PTER	1	PTER	
NKX3-2	1	NKX3-2	
NKX3-1	1	NKX3-1	
VPS9D1	1	VPS9D1	
ETF1	1	ETF1	
SMCR8	1	SMCR8	
AGXT	1	AGXT	
ATP10D	1	ATP10D	
SRSF1	1	SRSF1	
UGT2B28	1	UGT2B28	
ATP10B	1	ATP10B	
AC026310.1	1	AC026310.1	
ATP10A	1	ATP10A	
PTH2	1	PTH2	
MTHFSD	1	MTHFSD	
ARL13B	1	ARL13B	
NNAT	1	NNAT	
E2F1	1	E2F1	
E2F2	1	E2F2	
E2F3	1	E2F3	
E2F4	1	E2F4	
E2F5	1	E2F5	
E2F6	1	E2F6	
E2F7	1	E2F7	
E2F8	1	E2F8	
POTEB2	1	POTEB2	
SMIM10L1	1	SMIM10L1	
POTEB3	1	POTEB3	
CNBP	1	CNBP	
GZMA	1	GZMA	
STYK1	1	STYK1	
MAP1LC3B2	1	MAP1LC3B2	
GZMB	1	GZMB	
GZMH	1	GZMH	
GZMK	1	GZMK	
GZMM	1	GZMM	
OCIAD1	1	OCIAD1	
KCP	1	KCP	
OCIAD2	1	OCIAD2	
ICAM2	1	ICAM2	
ICAM3	1	ICAM3	
ICAM4	1	ICAM4	
IKZF1	1	IKZF1	
ICAM5	1	ICAM5	
IKZF2	1	IKZF2	
IKZF3	1	IKZF3	
IKZF4	1	IKZF4	
IKZF5	1	IKZF5	
ICAM1	1	ICAM1	
TOPAZ1	1	TOPAZ1	
ANPEP	1	ANPEP	
KDR	1	KDR	
C6orf120	1	C6orf120	
GAREM2	1	GAREML	
KEL	1	KEL	
GAREM1	1	GAREM	
C6orf118	1	C6orf118	
A3GALT2	1	A3GALT2	
ROPN1	1	ROPN1	
TMEM63A	1	TMEM63A	
TMEM63B	1	TMEM63B	
TMEM63C	1	TMEM63C	
MED12L	1	MED12L	
DECR2	1	DECR2	
DECR1	1	DECR1	
PTK6	1	PTK6	
CNFN	1	CNFN	
BRI3BP	1	BRI3BP	
PTK2	1	PTK2	
SNHG28	1	C1orf204	
MED13L	1	MED13L	
NDUFAF8	1	C17orf89	
NDUFAF6	1	NDUFAF6	
NDUFAF7	1	NDUFAF7	
PTK7	1	PTK7	
SNHG32	1	C6orf48	
NDUFAF4	1	NDUFAF4	
NDUFAF5	1	NDUFAF5	
NDUFAF2	1	NDUFAF2	
NDUFAF3	1	NDUFAF3	
NDUFAF1	1	NDUFAF1	
MON1A	1	MON1A	
MON1B	1	MON1B	
SPAG16	1	SPAG16	
SPAG17	1	SPAG17	
MTRNR2L5	1	MTRNR2L5	
AP4E1	1	AP4E1	
MTRNR2L6	1	MTRNR2L6	
MTRNR2L7	1	MTRNR2L7	
SPATC1L	1	SPATC1L	
MTRNR2L8	1	MTRNR2L8	
MTRNR2L1	1	MTRNR2L1	
MTRNR2L3	1	MTRNR2L3	
KHK	1	KHK	
PTMS	1	PTMS	
MTRNR2L4	1	MTRNR2L4	
PPP3CA	1	PPP3CA	
SYNCRIP	1	SYNCRIP	
PPP3CB	1	PPP3CB	
PPP3CC	1	PPP3CC	
UIMC1	1	UIMC1	
PHGDH	1	PHGDH	
C6orf163	1	C6orf163	
CTTNBP2NL	1	CTTNBP2NL	
KIN	1	KIN	
ANKFN1	1	ANKFN1	
KIT	1	KIT	
ARHGEF3	1	ARHGEF3	
ARHGEF4	1	ARHGEF4	
ARHGEF1	1	ARHGEF1	
ARHGEF2	1	ARHGEF2	
ARHGEF7	1	ARHGEF7	
PTMA	1	PTMA	
KIZ	1	KIZ	
ARHGEF5	1	ARHGEF5	
AHCY	1	AHCY	
PTPA	1	PPP2R4	
AHSA2P	1	AHSA2	
FILIP1L	1	FILIP1L	
C6orf141	1	C6orf141	
SPRYD3	1	SPRYD3	
SPRYD4	1	SPRYD4	
SPRYD7	1	SPRYD7	
KAZALD1	1	KAZALD1	
RP1L1	1	RP1L1	
SGSM1	1	SGSM1	
SEMG2	1	SEMG2	
SGSM3	1	SGSM3	
NDUFAB1	1	NDUFAB1	
SGSM2	1	SGSM2	
SEMG1	1	SEMG1	
NEK10	1	NEK10	
C6orf136	1	C6orf136	
C6orf132	1	C6orf132	
NEK11	1	NEK11	
KLB	1	KLB	
PRDM8	1	PRDM8	
PRDM7	1	PRDM7	
PRDM9	1	PRDM9	
PRDM4	1	PRDM4	
PRDM6	1	PRDM6	
PRDM5	1	PRDM5	
PRDM2	1	PRDM2	
PRDM1	1	PRDM1	
CELSR1	1	CELSR1	
CELSR2	1	CELSR2	
ETS1	1	ETS1	
CELSR3	1	CELSR3	
ETS2	1	ETS2	
GNPTAB	1	GNPTAB	
FAM3B	1	FAM3B	
FAM3D	1	FAM3D	
FAM3C	1	FAM3C	
ACOT11	1	ACOT11	
PHGR1	1	PHGR1	
ACOT12	1	ACOT12	
ACOT13	1	ACOT13	
KMO	1	KMO	
CCNB1IP1	1	CCNB1IP1	
SLFN12	1	SLFN12	
SLFN13	1	SLFN13	
SLFN11	1	SLFN11	
TYROBP	1	TYROBP	
SLFN14	1	SLFN14	
SULT6B1	1	SULT6B1	
TSG101	1	TSG101	
NNMT	1	NNMT	
UBA7	1	UBA7	
PLGRKT	1	PLGRKT	
NDUFB10	1	NDUFB10	
UBA6	1	UBA6	
UBA5	1	UBA5	
SLC41A2	1	SLC41A2	
SLC41A3	1	SLC41A3	
SLC41A1	1	SLC41A1	
INAVA	1	C1orf106	
CNN3	1	CNN3	
CNN2	1	CNN2	
CNN1	1	CNN1	
CNMD	1	LECT1	
TCAF2	1	TCAF2	
TCAF1	1	TCAF1	
AP4B1	1	AP4B1	
AHI1	1	AHI1	
UVSSA	1	UVSSA	
UBA3	1	UBA3	
UBA2	1	UBA2	
RNF103-CHMP3	1	RNF103-CHMP3	
PODXL2	1	PODXL2	
ZNF670-ZNF695	1	ZNF670-ZNF695	
LTB4R	1	LTB4R	
LMNB2	1	LMNB2	
LMNB1	1	LMNB1	
ACOXL	1	ACOXL	
SIGLECL1	1	SIGLECL1	
MKKS	1	MKKS	
ETV1	1	ETV1	
ETV2	1	ETV2	
ETV3	1	ETV3	
ETV4	1	ETV4	
ETV5	1	ETV5	
ETV6	1	ETV6	
ETV7	1	ETV7	
ACOX2	1	ACOX2	
ACOX1	1	ACOX1	
IFIT1B	1	IFIT1B	
PTGES3L	1	PTGES3L	
ACOX3	1	ACOX3	
KRTAP21-2	1	KRTAP21-2	
KRTAP21-3	1	KRTAP21-3	
SFSWAP	1	SFSWAP	
PTX4	1	PTX4	
NT5C2	1	NT5C2	
CNR2	1	CNR2	
CNR1	1	CNR1	
FAM241B	1	C10orf35	
FAM241A	1	C4orf32	
BNIP1	1	BNIP1	
PTK2B	1	PTK2B	
BNIP2	1	BNIP2	
PRPS1L1	1	PRPS1L1	
TRDMT1	1	TRDMT1	
NIPSNAP3B	1	NIPSNAP3B	
URGCP	1	URGCP	
NIPSNAP3A	1	NIPSNAP3A	
BNIP5	1	C6orf222	
BNIP3	1	BNIP3	
YY1AP1	1	YY1AP1	
TSPO2	1	TSPO2	
ERCC3	1	ERCC3	
ERCC4	1	ERCC4	
COL7A1	1	COL7A1	
ERCC1	1	ERCC1	
ERCC2	1	ERCC2	
ERCC8	1	ERCC8	
PTX3	1	PTX3	
ERCC5	1	ERCC5	
ERCC6	1	ERCC6	
KRTAP21-1	1	KRTAP21-1	
BNIPL	1	BNIPL	
PI4K2B	1	PI4K2B	
CNTF	1	CNTF	
DQX1	1	DQX1	
MRGPRF	1	MRGPRF	
WDR86	1	WDR86	
MRGPRG	1	MRGPRG	
MRGPRD	1	MRGPRD	
WDR83	1	WDR83	
MRGPRE	1	MRGPRE	
WDR89	1	WDR89	
WDR87	1	WDR87	
WDR88	1	WDR88	
FAM122A	1	FAM122A	
CNST	1	CNST	
WDR92	1	WDR92	
WDR93	1	WDR93	
WDR90	1	WDR90	
WDR91	1	WDR91	
LUC7L	1	LUC7L	
WDR74	1	WDR74	
WDR75	1	WDR75	
WDR72	1	WDR72	
WDR73	1	WDR73	
WDR78	1	WDR78	
HCFC2	1	HCFC2	
KNSTRN	1	KNSTRN	
WDR76	1	WDR76	
WDR77	1	WDR77	
WDR81	1	WDR81	
WDR82	1	WDR82	
PARD3	1	PARD3	
PI4K2A	1	PI4K2A	
WDR63	1	WDR63	
WDR64	1	WDR64	
WDR61	1	WDR61	
BCL10	1	BCL10	
WDR62	1	WDR62	
BLOC1S4	1	BLOC1S4	
BLOC1S5	1	BLOC1S5	
FAM124B	1	FAM124B	
BLOC1S6	1	BLOC1S6	
FAM124A	1	FAM124A	
WDR70	1	WDR70	
BLOC1S1	1	BLOC1S1	
BLOC1S2	1	BLOC1S2	
BLOC1S3	1	BLOC1S3	
HLA-DQA2	1	HLA-DQA2	
HLA-DQA1	1	HLA-DQA1	
LHPP	1	LHPP	
NDFIP2	1	NDFIP2	
NDFIP1	1	NDFIP1	
WDR59	1	WDR59	
WDR53	1	WDR53	
WDR54	1	WDR54	
WDR55	1	WDR55	
XKR8	1	XKR8	
XKR7	1	XKR7	
XKR9	1	XKR9	
ARL2BP	1	ARL2BP	
WDR60	1	WDR60	
WDR5B	1	WDR5B	
MKS1	1	MKS1	
XKR4	1	XKR4	
XKR3	1	XKR3	
XKR6	1	XKR6	
XKR5	1	XKR5	
WDR49	1	WDR49	
FANK1	1	FANK1	
WDR47	1	WDR47	
WDR48	1	WDR48	
PHF20	1	PHF20	
NANOGNB	1	NANOGNB	
PHF23	1	PHF23	
WDR41	1	WDR41	
WDR46	1	WDR46	
WDR43	1	WDR43	
IFIH1	1	IFIH1	
UBL5	1	UBL5	
UBL3	1	UBL3	
PHF24	1	PHF24	
UBL7	1	UBL7	
RAB5IF	1	C20orf24	
WDR38	1	WDR38	
HELLS	1	HELLS	
WDR36	1	WDR36	
WDR37	1	WDR37	
AHSG	1	AHSG	
WDR31	1	WDR31	
FAM126B	1	FAM126B	
WDR34	1	WDR34	
WDR35	1	WDR35	
FAM126A	1	FAM126A	
WDR33	1	WDR33	
KIFC2	1	KIFC2	
KIFC1	1	KIFC1	
KIFBP	1	KIF1BP	
AHRR	1	AHRR	
NANOGP8	1	NANOGP8	
KIFC3	1	KIFC3	
HLA-DQB2	1	HLA-DQB2	
HLA-DQB1	1	HLA-DQB1	
WDR27	1	WDR27	
WDR25	1	WDR25	
WDR26	1	WDR26	
AP5Z1	1	AP5Z1	
WDR20	1	WDR20	
WDR24	1	WDR24	
PPP1R2	1	PPP1R2	
RPS15A	1	RPS15A	
PPP1R7	1	PPP1R7	
UBN2	1	UBN2	
PPP1R8	1	PPP1R8	
UBN1	1	UBN1	
AHSP	1	AHSP	
WDR17	1	WDR17	
WHRN	1	DFNB31	
WDR18	1	WDR18	
WDR19	1	WDR19	
WDR12	1	WDR12	
WDR11	1	WDR11	
IGLL5	1	IGLL5	
PHF5A	1	PHF5A	
IGLL1	1	IGLL1	
CPSF4L	1	CPSF4L	
MROH2A	1	MROH2A	
RERGL	1	RERGL	
N6AMT1	1	N6AMT1	
POGLUT2	1	KDELC1	
POGLUT1	1	POGLUT1	
MROH2B	1	MROH2B	
UBP1	1	UBP1	
PARK7	1	PARK7	
PPP1CB	1	PPP1CB	
PPP1CC	1	PPP1CC	
HMCES	1	HMCES	
SLC26A11	1	SLC26A11	
SLC26A10	1	SLC26A10	
LARGE1	1	LARGE	
LARGE2	1	GYLTL1B	
POGLUT3	1	KDELC2	
AP5S1	1	AP5S1	
IFNAR2	1	IFNAR2	
SSUH2	1	SSUH2	
THOC1	1	THOC1	
TRAFD1	1	TRAFD1	
THOC3	1	THOC3	
KERA	1	KERA	
THOC5	1	THOC5	
THOC7	1	THOC7	
THOC6	1	THOC6	
MORF4L1	1	MORF4L1	
ADTRP	1	ADTRP	
C20orf96	1	C20orf96	
IFNAR1	1	IFNAR1	
DRC7	1	DRC7	
PARM1	1	PARM1	
FAM149B1	1	FAM149B1	
UBR4	1	UBR4	
UBR3	1	UBR3	
SLC38A10	1	SLC38A10	
SLC38A11	1	SLC38A11	
UBR2	1	UBR2	
UBR1	1	UBR1	
ORC5	1	ORC5	
ORC4	1	ORC4	
ORC6	1	ORC6	
ORC1	1	ORC1	
UBR7	1	UBR7	
ORC3	1	ORC3	
ORC2	1	ORC2	
UBR5	1	UBR5	
PPDPFL	1	C8orf22	
DRD1	1	DRD1	
DRD2	1	DRD2	
DRD3	1	DRD3	
DRD4	1	DRD4	
DRD5	1	DRD5	
OSBPL9	1	OSBPL9	
COA4	1	COA4	
FANCI	1	FANCI	
UVRAG	1	UVRAG	
OSBPL8	1	OSBPL8	
COA3	1	COA3	
BORCS8-MEF2B	1	BORCS8-MEF2B	
CHTOP	1	CHTOP	
OSBPL7	1	OSBPL7	
OSBPL6	1	OSBPL6	
COA1	1	COA1	
OSBPL5	1	OSBPL5	
FANCM	1	FANCM	
FANCL	1	FANCL	
OSBPL3	1	OSBPL3	
IQCA1L	1	IQCA1L	
OSBPL2	1	OSBPL2	
FANCA	1	FANCA	
FANCC	1	FANCC	
FANCE	1	FANCE	
FANCG	1	FANCG	
OTOL1	1	OTOL1	
FANCF	1	FANCF	
LHX3	1	LHX3	
LHX2	1	LHX2	
MAP3K19	1	MAP3K19	
LHX1	1	LHX1	
LHX6	1	LHX6	
MAP3K10	1	MAP3K10	
LHX5	1	LHX5	
LHX4	1	LHX4	
DRC1	1	DRC1	
MAP3K13	1	MAP3K13	
MAP3K14	1	MAP3K14	
LHX9	1	LHX9	
MAP3K11	1	MAP3K11	
BCL2L2	1	BCL2L2	
LAT	1	LAT	
DRC3	1	DRC3	
LHX8	1	LHX8	
MAP3K12	1	MAP3K12	
BCL2L1	1	BCL2L1	
LBH	1	LBH	
NOB1	1	NOB1	
KRTAP5-3	1	KRTAP5-3	
UBTF	1	UBTF	
PHACTR3	1	PHACTR3	
PHACTR2	1	PHACTR2	
KRTAP5-2	1	KRTAP5-2	
PHACTR1	1	PHACTR1	
KRTAP5-1	1	KRTAP5-1	
LBP	1	LBP	
COA8	1	APOPT1	
COA7	1	COA7	
LBR	1	LBR	
COA6	1	COA6	
CSTL1	1	CSTL1	
PHACTR4	1	PHACTR4	
COA5	1	COA5	
PLA2G12A	1	PLA2G12A	
KRTAP5-9	1	KRTAP5-9	
PLA2G12B	1	PLA2G12B	
KRTAP5-8	1	KRTAP5-8	
KRTAP5-7	1	KRTAP5-7	
CKAP2L	1	CKAP2L	
KRTAP5-6	1	KRTAP5-6	
KRTAP5-5	1	KRTAP5-5	
KRTAP5-4	1	KRTAP5-4	
COBL	1	COBL	
ARL2-SNX15	1	ARL2-SNX15	
PLRG1	1	PLRG1	
C1QL4	1	C1QL4	
C1QL3	1	C1QL3	
C1QL2	1	C1QL2	
TIRAP	1	TIRAP	
C1QL1	1	C1QL1	
SMC1B	1	SMC1B	
DNAJC3	1	DNAJC3	
DNAJC2	1	DNAJC2	
DNAJC1	1	DNAJC1	
ACTBL2	1	ACTBL2	
DNAJC7	1	DNAJC7	
MEP1B	1	MEP1B	
LCK	1	LCK	
DNAJC6	1	DNAJC6	
NOA1	1	NOA1	
MEP1A	1	MEP1A	
DNAJC5	1	DNAJC5	
DNAJC4	1	DNAJC4	
DNAJC9	1	DNAJC9	
DNAJC8	1	DNAJC8	
LCT	1	LCT	
LCORL	1	LCORL	
NSRP1	1	NSRP1	
NOD1	1	NOD1	
NOD2	1	NOD2	
COCH	1	COCH	
LEUTX	1	LEUTX	
DNAJB2	1	DNAJB2	
DNAJB1	1	DNAJB1	
DNAJB6	1	DNAJB6	
DNAJB5	1	DNAJB5	
DNAJB4	1	DNAJB4	
NOCT	1	NOCT	
DNAJB9	1	DNAJB9	
DNAJB8	1	DNAJB8	
DNAJB7	1	DNAJB7	
DRGX	1	DRGX	
MACC1	1	MACC1	
HCG27	1	HCG27	
WDR97	1	WDR97	
RPRD2	1	RPRD2	
OTOGL	1	OTOGL	
DNAJA1	1	DNAJA1	
FAM25BP	1	FAM25B	
BCKDK	1	BCKDK	
DNAJA4	1	DNAJA4	
LEP	1	LEP	
DNAJA3	1	DNAJA3	
DNAJA2	1	DNAJA2	
DRG1	1	DRG1	
DRG2	1	DRG2	
IFITM3	1	IFITM3	
RSC1A1	1	RSC1A1	
VEZT	1	VEZT	
IFITM1	1	IFITM1	
KRTAP20-3	1	KRTAP20-3	
IFITM2	1	IFITM2	
KRTAP20-4	1	KRTAP20-4	
PARS2	1	PARS2	
IFIT5	1	IFIT5	
MLC1	1	MLC1	
IFIT1	1	IFIT1	
HS6ST1	1	HS6ST1	
IFIT3	1	IFIT3	
FERD3L	1	FERD3L	
IFIT2	1	IFIT2	
HS6ST3	1	HS6ST3	
RPS15	1	RPS15	
RPS14	1	RPS14	
RPS17	1	RPS17	
RPS16	1	RPS16	
RPS19	1	RPS19	
RPS18	1	RPS18	
HMCN2	1	HMCN2	
HMCN1	1	HMCN1	
RPS11	1	RPS11	
RPS10	1	RPS10	
IFITM5	1	IFITM5	
RPS13	1	RPS13	
RPS12	1	RPS12	
ARRDC4	1	ARRDC4	
SRRM2	1	SRRM2	
SRRM3	1	SRRM3	
ARRDC5	1	ARRDC5	
SRRM4	1	SRRM4	
COG8	1	COG8	
COG7	1	COG7	
SRRM5	1	SRRM5	
COG6	1	COG6	
COG5	1	COG5	
ARRDC1	1	ARRDC1	
COG4	1	COG4	
ARRDC2	1	ARRDC2	
ARRDC3	1	ARRDC3	
COG3	1	COG3	
PRAMEF20	2	PRAMEF20:PRAMEF21	
COG2	1	COG2	
P3H2	1	P3H2	
HLA-B	1	HLA-B	
P3H1	1	P3H1	
HLA-C	1	HLA-C	
COG1	1	COG1	
PRAMEF22	1	PRAMEF22	
YOD1	1	YOD1	
P3H4	1	P3H4	
HLA-A	1	HLA-A	
P3H3	1	P3H3	
HLA-F	1	HLA-F	
HLA-G	1	HLA-G	
CRNKL1	1	CRNKL1	
SRRM1	1	SRRM1	
HLA-E	1	HLA-E	
NEIL3	1	NEIL3	
NEIL2	1	NEIL2	
PRAMEF26	1	PRAMEF26	
MTHFD2L	1	MTHFD2L	
RUBCNL	1	KIAA0226L	
NEIL1	1	NEIL1	
KRTAP20-1	1	KRTAP20-1	
KRTAP20-2	1	KRTAP20-2	
MACF1	1	MACF1	
CSTF3	1	CSTF3	
LHB	1	LHB	
PRAMEF11	1	PRAMEF11	
PRAMEF10	1	PRAMEF10	
LIAS	1	LIAS	
APCDD1	1	APCDD1	
CBARP	1	CBARP	
PRAMEF17	1	PRAMEF17	
FXR1	1	FXR1	
HELZ2	1	HELZ2	
PRAMEF19	1	PRAMEF19	
SCFD1	1	SCFD1	
PRAMEF18	1	PRAMEF18	
AP5M1	1	AP5M1	
CHTF8	1	CHTF8	
FXR2	1	FXR2	
PRAMEF12	1	PRAMEF12	
SCFD2	1	SCFD2	
PRAMEF15	1	PRAMEF15	
GJA10	1	GJA10	
PRAMEF14	1	PRAMEF14	
CSTF1	1	CSTF1	
MLEC	1	MLEC	
TMEM74B	1	TMEM74B	
LIF	1	LIF	
PARVA	1	PARVA	
PARVB	1	PARVB	
PUM1	1	PUM1	
TRERF1	1	TRERF1	
PUM3	1	PUM3	
PUM2	1	PUM2	
RPS26	1	RPS26	
RPS25	1	RPS25	
RPS28	1	RPS28	
RPS27	1	RPS27	
PARVG	1	PARVG	
RPS29	1	RPS29	
RPS20	1	RPS20	
RPS21	1	RPS21	
RPS24	1	RPS24	
RPS23	1	RPS23	
AHCTF1	1	AHCTF1	
ORM1	1	ORM1	
UBXN1	1	UBXN1	
MEOX2	1	MEOX2	
ORM2	1	ORM2	
MEOX1	1	MEOX1	
COIL	1	COIL	
C1QBP	1	C1QBP	
UBXN8	1	UBXN8	
UBXN7	1	UBXN7	
UBXN4	1	UBXN4	
FEZF2	1	FEZF2	
FEZF1	1	FEZF1	
UBXN6	1	UBXN6	
LRRCC1	1	LRRCC1	
PARP6	1	PARP6	
PARP3	1	PARP3	
PARP4	1	PARP4	
PARP1	1	PARP1	
PARP2	1	PARP2	
STRADA	1	STRADA	
GP1BB	1	GP1BB	
